# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
ACCEPT|Take what is offered
ACCESS|Way in
ACCUSE|Point the finger at
ACTING|What the drama class teaches
ACTION|Where all of it is, supposedly
ACTIVE|Up and moving
ACTUAL|Real, not supposed
ADVICE|What you asked your uncle for
ADVISE|Tell someone what you would do
AFFAIR|Event, or a scandal
AFFORD|Have the money for
AGENDA|List of what the meeting covers
AGENTS|Hollywood dealmakers
AIRBAG|It inflates in a crash
AIRWAY|Breathing passage
ALMOND|Nut in marzipan
ALPINE|Of the high mountains
AMOUNT|How much there is
AMUSED|Quietly entertained
ANCHOR|Ship's holding weight
ANIMAL|Creature of the kingdom
ANNUAL|Once a year
ANSWER|What the question wants
ANTHEM|Song before the game
ANYONE|No person in particular
APIECE|Each
APPEAL|Plea, or charm
ARCADE|Row of games and tokens
ARCHER|Bow user
ARCTIC|Far northern
ARGUED|Went back and forth
ARISEN|Got up, formally
ARMFUL|As much as you can carry
ARMORY|Weapons store
ARREST|Take into custody
ARRIVE|Get there
ARTIST|Studio worker
ASCEND|Climb
ASLEEP|Out for the night
ASSERT|State firmly
ASSIST|Lend a hand
ASSUME|Take for granted
ASTHMA|Inhaler condition
ATTACH|Fasten on
ATTACK|Go on the offensive
ATTEND|Show up for
ATTIRE|What you have on
AUTHOR|Book's writer
AUTUMN|Leaf-falling season
AVENUE|Wide city street
AWAKEN|Rouse from sleep
BABIES|Nursery occupants
BACKUP|Spare copy
BADGER|Striped burrower, or pester
BAKERY|Where the bread is made
BALLET|Dance on pointe
BALLOT|What you cast
BAMBOO|Panda's food
BANANA|Peel-and-eat yellow fruit
BANDIT|Highway robber
BANNER|Sign strung across the street
BARBER|Haircut giver
BARELY|Only just
BARREL|Whiskey ages in one
BASKET|Hoop score, or picnic carrier
BATTLE|Fight of some size
BEACON|Guiding light
BEAUTY|What the eye of the beholder sees
BECAME|Turned into
BECKON|Wave someone over
BEDBUG|Mattress pest
BEHALF|You act on someone's
BEHAVE|Mind your manners
BEHIND|To the rear
BELIEF|What you hold to be true
BELONG|Have a rightful place
BESIDE|Right next to
BETRAY|Sell out a friend
BETTER|Improved
BEWARE|Sign on the gate, with "of the dog"
BEYOND|Farther than
BIGGER|More sizable
BILLED|Sent an invoice
BINARY|Ones and zeros
BIRDIE|One under par
BISHOP|Diagonal chess piece
BITTER|Like unsweetened chocolate
BLAMED|Held responsible
BLAZER|Sport coat
BLEACH|Laundry whitener
BLENDS|Mixes smoothly
BLOUSE|Buttoned top
BOILER|Basement heater
BONNET|Tie-under-the-chin hat
BORDER|Line between countries
BORROW|Take with intent to return
BOTHER|Trouble yourself
BOTTLE|Milk container
BOTTOM|The very lowest part
BOUNCE|What a ball does
BOUNTY|Reward on a poster
BOWLER|Cricket's pitcher, or a round hat
BOXCAR|Freight train unit
BRAINS|Grey matter
BRANCH|Tree limb, or a bank office
BRANDY|After-dinner spirit
BRAVER|More willing to face it
BREACH|Gap in the wall
BREATH|What you hold underwater
BREEZE|Light wind, or an easy job
BRIDGE|It spans the river
BRIGHT|Well lit, or clever
BROKEN|In pieces
BRONZE|Third-place metal
BROOCH|Pin worn on a lapel
BROTHS|Thin soups
BRUNCH|Late weekend meal
BRUTAL|Savagely hard
BUBBLE|Soap sphere
BUCKET|Mop's partner
BUCKLE|Belt fastener
BUDGET|What the spending has to fit
BUFFET|Serve-yourself spread
BUNDLE|Tied-up armful
BURDEN|Heavy load to bear
BUREAU|Dresser, or a government office
BURIED|Put underground
BUSHEL|Apple measure
BUTLER|The one who did it, traditionally
BUTTER|Toast spread
BUTTON|Shirt fastener
CABLES|TV wires
CACTUS|Prickly desert plant
CAMERA|It takes the picture
CANCEL|Call the whole thing off
CANDLE|Birthday cake topper
CANNON|Old artillery piece
CANOES|Paddled boats
CANVAS|Painter's surface
CANYON|Deep river gorge
CAREER|Your working life
CARGOS|Ship loads
CARPET|Wall-to-wall flooring
CARROT|Rabbit's favorite
CARTON|Egg holder
CARVED|Cut a shape into
CASHEW|Curved nut
CASINO|Where the chips are
CASTLE|Moat surrounds it
CASUAL|Not dressed up
CATTLE|Herd on the ranch
CAUGHT|Snagged
CAVERN|Big cave
CEDING|Handing over
CELERY|Crunchy green stalk
CELLAR|Below the house
CEMENT|Sidewalk stuff
CENSUS|Head count of the country
CENTER|The middle
CEREAL|Breakfast in a bowl
CHAINS|Snow tire aid
CHAIRS|Seats at the table
CHALET|Ski lodge
CHALKY|Like the taste of an antacid
CHANCE|A shot at it
CHANGE|Coins, or make different
CHAPEL|Small church
CHARGE|Fee, or a rush forward
CHARMS|Bracelet danglers
CHARTS|Where the hits are ranked
CHASED|Ran after
CHEEKY|Impudent, in Britain
CHEESE|Say it for the camera
CHERRY|Pie fruit with a pit
CHEWED|Worked over with the teeth
CHILLY|Needing a jacket
CHOICE|What you get to make
CHOOSE|Pick one
CHORUS|The part everybody sings
CHOSEN|Selected
CHROME|Shiny bumper finish
CHUNKY|In big pieces
CHURCH|Sunday building
CIRCLE|Round shape
CIRCUS|Big top show
CITRUS|Orange or lemon
CLAMOR|Loud public outcry
CLASSY|With real style
CLAUSE|Part of a contract
CLENCH|Tighten the fist
CLERGY|Ministers and priests
CLEVER|Quick-witted
CLIMAX|The high point
CLINIC|Walk-in medical office
CLOSET|Where the clothes hang
CLOUDY|Overcast
CLOVER|Four-leaf luck
COBALT|Deep blue pigment
COFFEE|Morning cup
COFFIN|Funeral box
